d_model,num_layers,bidirectional,model_name,task_name,win_size,step_size,batch_size,epochs,lr,model_saving_path,dataset_path,dataset_name,if_save,index,train_test_split,anomaly_ratio,train_split_max,metric_list,quantile,noise_prob,CCE,F1,Aff-F1,UAff-F1,AUC-ROC,VUS-PR
32,1,0,STAND,supervised,32,1,128,10,0.001,/public/home/202220143416/projects/STAND/model_saving,/public/home/202220143416/projects/FTSAD/datasets,PSM,0,0,0.5,0.1,0.3,"['CCE', 'F1', 'Aff-F1', 'UAff-F1', 'AUC-ROC', 'VUS-PR']",0.95,0.03,0.13036722,0.24629345603271985,0.3961742156234197,0.16804342408193618,0.7311635578049638,0.6044892769769697
32,1,0,ExtraTrees,supervised,3,1,128,10,0.001,/public/home/202220143416/projects/STAND/model_saving,/public/home/202220143416/projects/FTSAD/datasets,PSM,0,0,0.5,0.1,0.3,"['CCE', 'F1', 'Aff-F1', 'UAff-F1', 'AUC-ROC', 'VUS-PR']",0.95,0.01,0.11049235304644596,0.16515403297967532,0.6986162665198943,0.4988070899006005,0.7534990315002803,0.5787813958023101
32,1,0,RF,supervised,3,1,128,10,0.001,/public/home/202220143416/projects/STAND/model_saving,/public/home/202220143416/projects/FTSAD/datasets,NIPS_TS_Water,0,0,0.5,0.1,0.3,"['CCE', 'F1', 'Aff-F1', 'UAff-F1', 'AUC-ROC', 'VUS-PR']",0.95,0.05,0.2861599005206408,0.07297605473204105,0.8247142714288992,0.5691825977854559,0.9535791522247504,0.10703891576899194
32,1,0,ExtraTrees,supervised,3,1,128,10,0.001,/public/home/202220143416/projects/STAND/model_saving,/public/home/202220143416/projects/FTSAD/datasets,SWAT,0,0,0.5,0.1,0.3,"['CCE', 'F1', 'Aff-F1', 'UAff-F1', 'AUC-ROC', 'VUS-PR']",0.95,0.01,0.35785447593631525,0.3340045695697634,0.3442442759088898,0.34353424591379966,0.9402243491625648,0.9068805505332532
32,1,0,ExtraTrees,supervised,3,1,128,10,0.001,/public/home/202220143416/projects/STAND/model_saving,/public/home/202220143416/projects/FTSAD/datasets,WADI,0,0,0.5,0.1,0.3,"['CCE', 'F1', 'Aff-F1', 'UAff-F1', 'AUC-ROC', 'VUS-PR']",0.95,0.01,0.2535707111086296,0.46831955922865015,0.8662688149966569,0.6683443836793433,0.9594230658086759,0.6866083806196427
32,1,0,ExtraTrees,supervised,3,1,128,10,0.001,/public/home/202220143416/projects/STAND/model_saving,/public/home/202220143416/projects/FTSAD/datasets,SWAT,0,0,0.5,0.1,0.3,"['CCE', 'F1', 'Aff-F1', 'UAff-F1', 'AUC-ROC', 'VUS-PR']",0.95,0.01,0.35785447593631525,0.3340045695697634,0.3442442759088898,0.34353424591379966,0.9402243491625648,0.9068805505332532
32,1,0,STAND,supervised,32,1,128,10,0.001,/public/home/202220143416/projects/STAND/model_saving,/public/home/202220143416/projects/FTSAD/datasets,SWAT,0,0,0.5,0.1,0.3,"['CCE', 'F1', 'Aff-F1', 'UAff-F1', 'AUC-ROC', 'VUS-PR']",0.95,0.03,0.20369077,0.297346244825547,0.7094595237140476,0.6654170888409487,0.7255192483846141,0.5023566242499352
32,1,0,STAND,supervised,32,1,128,10,0.001,/public/home/202220143416/projects/STAND/model_saving,/public/home/202220143416/projects/FTSAD/datasets,WADI,0,0,0.5,0.1,0.3,"['CCE', 'F1', 'Aff-F1', 'UAff-F1', 'AUC-ROC', 'VUS-PR']",0.95,0.03,0.12771708,0.12309728656518862,0.5520031471012463,0.2687764519849997,0.7234205317538295,0.14403924096765947
32,1,0,ExtraTrees,supervised,3,1,128,10,0.001,/public/home/202220143416/projects/STAND/model_saving,/public/home/202220143416/projects/FTSAD/datasets,NIPS_TS_Swan,0,0,0.5,0.1,0.3,"['CCE', 'F1', 'Aff-F1', 'UAff-F1', 'AUC-ROC', 'VUS-PR']",0.95,0.01,0.36607214024704093,0.15556653898430742,0.4039147098280499,0.3950378382263365,0.8939982027227897,0.9713070917893252
32,1,0,SVM,supervised,3,1,128,10,0.001,/public/home/202220143416/projects/STAND/model_saving,/public/home/202220143416/projects/FTSAD/datasets,PSM,0,0,0.5,0.1,0.3,"['CCE', 'F1', 'Aff-F1', 'UAff-F1', 'AUC-ROC', 'VUS-PR']",0.95,0.05,0.09186348162297608,0.08103271983640081,0.5844685437290702,0.46091703023403324,0.6882964734087176,0.4521004688277556
